Male Mutant,Female Mutant,Male Wild Type,Female  Wild Type
12.333784566514082,11.680699588933862,20.49775794121864,24.58965923783109
11.675152398534705,10.24269437286136,19.525014172844635,24.97838494119818
12.02905919870472,10.264650253941006,20.492630548215967,23.644813972891694
12.126429904603071,9.230632349087328,19.928137499418327,24.352656546436343
10.307197154104376,10.336081521587191,19.0846821813534,23.223305293557022
12.254407795780585,10.076055726997804,20.710482686663713,24.43905902893551
12.543089494357897,8.286564595450379,19.191280270179725,24.815297910629756
11.613413330257838,8.29503120002169,21.718238485425747,23.87161106610348
13.035435241553401,10.613352706026014,20.10639852375228,25.323211270542338
12.580058949868107,9.339716629955568,18.626733551088044,25.491254571886966
12.141344179278283,10.444644695181978,21.483229223430783,23.591883351843233
10.767978041377322,11.73504872812526,20.22945170600461,23.229108223337853
12.18229646125602,9.860654807121508,18.452753365703536,24.892684286214678
13.258834512504146,10.497110740571507,19.86921999349142,22.877405041896814
12.101808625365358,10.27518936063517,20.249400025912013,24.08539591651542
10.1411138410778,10.194832527518857,18.86189577654512,24.88682078540342
10.517355144123487,9.81661294686274,19.884048561545278,24.475663140126713
13.943148570958304,8.474918193943452,20.16923327309729,21.935896094843258
10.863963745394797,10.838154459724239,19.177379331579928,23.852748317646864
11.355278420408986,11.501351819883801,19.221406472787645,25.515138162838262
