Group,Value
A,-0.19164418984810375
A,-0.142607966224931
A,1.1243311755065686
A,0.3517303312316766
A,2.091361007038718
A,0.14143827022840558
A,1.2952287714404513
A,-0.6717667648728546
A,0.8361235814344702
A,0.6181561195185167
A,0.1765508198648022
A,-0.33012566954633576
A,-0.8656611881867312
A,-0.22149820544927715
A,0.32139968364404425
A,0.27427032751069413
A,1.2515649366740378
A,-0.09665761865372711
A,0.8349326266591371
A,1.2292875894878728
A,0.7979915262100536
A,1.5105677554826062
A,1.2566886234470767
A,-1.446559677115617
A,-0.6949667180661966
A,-0.3072629971579188
A,-0.5710207391278644
A,1.1029705247185793
A,-0.7203988649054185
A,0.26503641879874507
A,-0.02609487013866678
A,1.9118753318617288
A,-0.8685819660748764
A,-1.5448413103529979
A,2.256444555695689
A,0.2713143842793277
A,-0.02302688636159297
A,-0.970923584313962
A,0.5925315722203378
A,0.26887494359119174
A,-0.1915739473598778
A,-0.9524635272287783
A,0.13372089044884597
A,-0.4983756654032938
A,-1.0469473068672381
A,-0.5946741218252424
A,-1.0218298550817828
A,0.06306893347023369
A,-0.9290901002948446
A,-0.36689377720896915
A,-0.6409976646850164
A,0.08264207449841446
A,-0.42224568324314
A,-2.9065796586271175
A,-0.9374923323015004
A,-0.4433706367296279
A,0.18162779175474777
A,-0.03031571122085827
A,0.085417142566074
A,-0.2777985314605833
A,0.0037575040148683995
A,0.5924104880069208
A,1.0551784351612459
A,1.3478487745603143
A,-0.03474455159129125
A,-0.3414095024622871
A,1.9450770138278795
A,1.8124454790258961
A,0.47310515179899354
A,0.4884726749347798
A,-1.094972340708792
A,-0.3406392636138649
A,-0.2696801237511495
A,-0.05584625304461475
A,-0.22024773065460856
A,1.0970181157362955
A,0.5785862338225783
A,0.40216667099093717
A,-1.5470830540434712
A,-2.0131072769421654
A,-0.25418501513950287
A,0.7041386276012991
A,-0.13900201683976818
A,1.1353373337287318
A,0.1156868501960936
A,1.620794378966903
A,-0.9047406750326312
A,0.7840196840803505
A,0.3409177495862971
A,-1.2199418923735164
A,-0.35359050158074407
A,0.5684032202237594
A,0.5852919286802959
A,-2.450839776187569
A,0.8777568528521005
A,0.9354800030092179
A,0.19189449335977726
A,-0.951714676614434
A,-1.6066125366457666
A,0.499454556801917
B,1.3527098391495702
B,-0.9096475353907212
B,1.7485557339558042
B,1.4887896896216823
B,0.6112866941782444
B,2.116735731092798
B,-1.760539217997175
B,2.676631992602209
B,-0.6858727521145878
B,3.1024012822263716
B,3.6606197183265996
B,-1.4298588917015236
B,2.3771143898152003
B,0.5660212356714226
B,-0.010200921058345802
B,2.9708407780732244
B,2.8616407538796516
B,3.970204938991019
B,-0.44923755102599383
B,0.46468679960961634
B,0.3185814205595644
B,-2.182703545677219
B,-3.1293410847282868
B,1.4612523602720675
B,1.286046162057482
B,2.6649025177845576
B,1.5007673097923977
B,1.2783967845281687
B,3.0425433708191005
B,0.6012251562604288
B,2.8731168085569934
B,-0.9503904058130899
B,-0.4513274817207009
B,2.7999297194841986
B,-2.4130044158386887
B,1.3390119898054254
B,2.064883298965374
B,0.17925203502940068
B,1.6461549591574642
B,-0.015174828272274787
B,1.2727207734856858
B,0.03069826648538343
B,0.7593243580010076
B,1.138109202628155
B,3.7096332776394583
B,2.195285619473942
B,-0.11954804016015008
B,0.46595075919846984
B,2.5267377142397143
B,-1.3672119564448968
B,3.525607775773669
B,0.16069242703115882
B,-2.2526662494482874
B,-0.22270186302462558
B,1.8158978585337193
B,1.5197234081549178
B,-0.3304308186557683
B,3.8066992225315
B,-0.08704230796209167
B,-1.724707943668423
B,3.1601167608432266
B,0.6823352178220152
B,-0.9420695361884432
B,2.773257531142904
B,2.4092991682570473
B,3.4690985540539683
B,0.07672208890884247
B,-1.0567024852069835
B,1.7657571823326101
B,2.6193121040154432
B,1.5130996173771505
B,-1.8676128527949722
B,3.381742114856558
B,0.877454187498461
B,3.500932391794827
B,2.824039272285436
B,-0.16999810823150519
B,2.966655609354158
B,3.145823931395596
B,2.6583266896678155
B,-1.2926001110481127
B,2.3344094086660787
B,0.19805195690496713
B,-2.956441983990655
B,3.2718407619679617
B,1.8793012878003923
B,1.2235963988505199
B,-0.5263546174262497
B,0.8925694760609378
B,2.0428499494020067
B,-0.25618374255427323
B,-0.18578167988314953
B,-0.7259146293882011
B,0.7250722690501781
B,-0.025088979077265927
B,1.1823745442707836
B,4.364441605211246
B,0.7262501553841852
B,-0.987531624683802
B,0.5613225834686144
