Strain,Mutation_rate
st_alpha,10.612005472490578
st_alpha,12.586371496289825
st_alpha,8.997582656270009
st_alpha,11.681775227554303
st_alpha,14.408237317682293
st_alpha,11.96575563062389
st_alpha,11.38707177732445
st_alpha,8.12898218923699
st_alpha,8.381636256123574
st_alpha,8.625002669810556
st_alpha,10.344642772008294
st_alpha,7.0075425506498235
st_alpha,9.83351794106415
st_alpha,8.819321151635416
st_alpha,10.905491475270274
st_alpha,9.103433099337476
st_alpha,8.383629794709716
st_alpha,9.36004002614202
st_alpha,9.677619319283844
st_alpha,10.793217203545018
st_alpha,9.349049842683865
st_alpha,11.069443315591778
st_alpha,10.70957509858928
st_alpha,11.10203581169101
st_alpha,9.351595404127819
st_alpha,9.71625631187831
st_alpha,10.249599516366356
st_alpha,9.245192392408185
st_alpha,8.240774691994753
st_alpha,6.4375181323128565
st_alpha,8.846651950952308
st_alpha,9.910410788179277
st_alpha,10.423075854701732
st_alpha,11.481005964523074
st_alpha,9.652066968307421
st_alpha,10.991844080264634
st_alpha,10.510943247461752
st_alpha,10.9334297121844
st_alpha,8.485835517102068
st_alpha,9.913077446093904
st_alpha,12.34283187974139
st_alpha,7.453368291795981
st_beta,5.917824635070989
st_beta,6.012724562434508
st_beta,6.6725398271581415
st_beta,6.841009572782836
st_beta,5.880607143172376
st_beta,3.906325959363558
st_beta,4.576714342630308
st_beta,4.024903639056495
st_beta,4.83246985986291
st_beta,6.585898107491855
st_beta,4.168968296184303
st_beta,3.030793579061805
st_beta,5.330661271489388
st_beta,6.34824695266325
st_beta,5.677625495948641
st_beta,4.893361352188617
st_beta,5.4281374325123615
st_beta,4.843610604508135
st_beta,3.925744356349327
st_beta,5.522401765378918
st_beta,5.297732215327916
st_beta,1.78354237808876
st_beta,5.625844982050439
st_beta,3.8252713050975045
st_beta,5.152340489538755
st_beta,5.341491176465092
st_beta,4.681835297849503
st_beta,7.337439725496462
st_beta,6.0815709463167895
st_beta,5.020289507898091
st_beta,5.3066151864162965
st_beta,5.592357789543562
st_beta,5.959181324427384
st_beta,4.636532512161613
st_beta,3.84607146790309
st_beta,4.870707969824844
st_beta,5.873642087483208
st_beta,4.936361052402837
st_beta,4.365091408138226
st_beta,5.313149704040828
st_beta,3.196389673097502
st_beta,4.647302830842666
st_gamma,1.2649987105183187
st_gamma,1.1806480747013939
st_gamma,0.9713660248739164
st_gamma,1.0650811296457596
st_gamma,0.9683549421224515
st_gamma,1.149042348224043
st_gamma,0.5772401907731088
st_gamma,1.2026383637065063
st_gamma,1.089982471536089
st_gamma,0.7224235157529615
st_gamma,0.9449189258528707
st_gamma,0.6388432148182634
st_gamma,1.21710631956805
st_gamma,1.1873508748094024
st_gamma,0.9038105644126797
st_gamma,0.7278587358473688
st_gamma,1.2545856057635776
st_gamma,1.1953350863184906
st_gamma,1.5107917725415496
st_gamma,0.9502644413099343
st_gamma,1.0454738150558376
st_gamma,0.7472758105008313
st_gamma,0.733619587016799
st_gamma,0.8382283611880196
st_gamma,0.8940730142437576
st_gamma,0.8704255912365939
st_gamma,1.2594756212906064
st_gamma,0.9559649312456564
st_gamma,1.0835472497212733
st_gamma,0.597110553943263
st_gamma,1.1633629394475693
st_gamma,0.7657428661722949
st_gamma,0.8035337517776979
st_gamma,0.938301540677213
st_gamma,1.1806134192049798
st_gamma,1.0347632883217113
st_gamma,0.8809614745275777
st_gamma,0.7622361808648177
st_gamma,0.7429419522372918
st_gamma,0.7273618293890312
st_gamma,1.1462455418463255
st_gamma,1.029624716540239
st_delta,1.1596044701894885
st_delta,2.374039129929058
st_delta,1.7592379055979226
st_delta,2.26326101533754
st_delta,2.3078761947650057
st_delta,1.093035207943915
st_delta,1.812103564094914
st_delta,1.6410213207136342
st_delta,2.061846630652359
st_delta,1.48298271195497
st_delta,2.5326507222352848
st_delta,2.645610160042976
st_delta,2.2083667217937912
st_delta,1.063869426075104
st_delta,1.1921053049379604
st_delta,1.9167688105598963
st_delta,1.8269224391621441
st_delta,2.028382940757609
st_delta,1.867326740137321
st_delta,1.704311928621729
st_delta,1.6039743856420556
st_delta,0.6883538803451674
st_delta,2.1951683865726936
st_delta,2.730631926231962
st_delta,1.867474996927704
st_delta,1.9433574970855523
st_delta,1.318099251086557
st_delta,0.9576783802358393
st_delta,1.6050807670160112
st_delta,1.8897727606695192
st_delta,1.652831912158435
st_delta,2.5468443230903626
st_delta,2.1377523561329888
st_delta,1.35058072877003
st_delta,2.093699689866844
st_delta,1.8688906329594668
st_delta,1.1826472333401783
st_delta,2.7162492892952432
st_delta,2.4673782769408277
st_delta,2.119801068493781
st_delta,1.316536686045314
st_delta,2.0604722701535603
