Male Mutant,Female Mutant,Male Wild Type,Female  Wild Type
10.485450878349223,8.250013099076028,20.127062783467547,25.946384142048284
11.747947754688008,8.453839319273994,20.068146989999487,23.4648701301568
13.412580035951615,9.706604837832602,21.215147894258635,22.98948033878886
12.910095255706722,9.522116377886057,20.706415776021682,25.32437595439396
10.367770448744894,8.583212460462807,18.07479515006648,22.607486877500676
11.698421770214244,9.835001710250665,20.367624030488916,23.05218737276562
11.583152773548997,10.532096024212644,20.152520578426156,25.369036696169815
11.447348919132299,9.39416641205885,19.392475812028554,23.37270897481638
10.852276193172294,8.739472657788586,18.52434071242466,25.215646441257338
11.285897418686885,10.892393989181093,20.325026291142493,24.99050452721226
