rel_time,m_level
-10.0,166.84660198075244
-9.797979797979798,243.6569494624788
-9.595959595959595,354.59164243031717
-9.393939393939394,209.02321847173545
-9.191919191919192,283.4315082519349
-8.98989898989899,307.14390068856807
-8.787878787878787,376.34905224515563
-8.585858585858587,342.45243347201756
-8.383838383838384,328.06774092997404
-8.181818181818182,343.46426323765144
-7.979797979797979,274.3110410270469
-7.777777777777778,370.707876977139
-7.575757575757576,380.5546659236026
-7.373737373737374,441.97973774558903
-7.171717171717171,322.5463529366289
-6.96969696969697,414.34119559966996
-6.767676767676768,401.48782064872734
-6.565656565656566,342.42643346958687
-6.363636363636363,400.91647475423946
-6.161616161616162,379.11558690967337
-5.959595959595959,306.9836936281812
-5.757575757575758,447.1971311171364
-5.555555555555555,358.5223314377376
-5.353535353535354,396.1372098237951
-5.151515151515151,374.65817255893455
-4.94949494949495,334.5825353015111
-4.747474747474747,247.32899864199487
-4.545454545454546,316.72122425323823
-4.343434343434343,253.7435661508519
-4.141414141414142,253.7786472169424
-3.9393939393939394,361.65066620041864
-3.737373737373738,288.6918192976738
-3.5353535353535355,261.17125465451807
-3.333333333333333,214.6714796060209
-3.1313131313131315,285.3736865647787
-2.929292929292929,239.2936579334777
-2.7272727272727275,179.89483978863404
-2.525252525252525,261.7984858207467
-2.3232323232323235,225.53969823455708
-2.121212121212121,250.61413646527248
-1.9191919191919187,139.20244467219652
-1.717171717171718,275.3818651016687
-1.5151515151515156,122.06235221802315
-1.3131313131313131,132.1543565917353
-1.1111111111111107,231.5961933608976
-0.9090909090909101,94.14457004600797
-0.7070707070707076,144.35579810607675
-0.5050505050505052,194.93198818668918
-0.30303030303030276,76.3987121420542
-0.10101010101010033,152.0035950843922
0.10101010101010033,82.38055932887313
0.30303030303030276,114.5725202343693
0.5050505050505052,53.379344721339834
0.7070707070707076,74.23316922584883
0.9090909090909083,43.58417625891652
1.1111111111111107,143.99455283761196
1.3131313131313131,48.51900217361949
1.5151515151515156,5.959569495800196
1.7171717171717162,34.48107859080484
1.9191919191919187,58.286028288876096
2.121212121212121,-27.248343141935056
2.3232323232323235,7.568716414597249
2.525252525252524,-13.838863320180215
2.7272727272727266,-1.1254226406040893
2.929292929292929,-22.946940432164606
3.1313131313131315,-35.955146333671244
3.333333333333334,19.16461129992332
3.5353535353535346,-97.31868765704229
3.737373737373737,76.49062024600225
3.9393939393939394,-71.59310905477565
4.141414141414142,-107.72251149912628
4.3434343434343425,-8.09323801220959
4.545454545454545,-58.09725639070331
4.747474747474747,-72.90922240949207
4.94949494949495,-95.11735896468429
5.1515151515151505,-14.830994329383799
5.353535353535353,-99.06975661921746
5.555555555555555,-38.93258197786906
5.757575757575758,19.543429661878683
5.9595959595959584,-29.230635139743832
6.161616161616163,-32.12306684013969
6.363636363636363,17.365550764778924
6.565656565656564,-12.903317153392033
6.767676767676768,70.34254304441039
6.969696969696969,2.9947076097493888
7.171717171717173,72.00455576251107
7.373737373737374,38.69643559356419
7.575757575757574,14.05506085461098
7.777777777777779,-15.227088468703663
7.979797979797979,83.02978251428421
8.18181818181818,103.79410722900653
8.383838383838384,97.31003448175173
8.585858585858585,172.0257563066704
8.787878787878789,128.26416114345065
8.98989898989899,139.2991473538177
9.19191919191919,255.174990699889
9.393939393939394,152.9877606685056
9.595959595959595,142.68515772836744
9.7979797979798,189.6841928593588
10.0,314.1400568202304
